size,m,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
10,5,0.9646833333333332,0.9632303203814926,0.9661363462851739,0.9988,0.9985176386258903,0.9990823613741098,0.977,0.9758050862386294,0.9781949137613706,0.7881833333333333,0.7849457583336807,0.791420908332986,0.7313833333333334,0.7278939753596858,0.734872691306981,0.7847166666666667,0.7814810678060747,0.7879522655272587
16,8,0.9729833333333332,0.9717298267938138,0.9742368398728526,0.9951833333333332,0.994622946090145,0.9957437205765214,0.9729166666666667,0.9716504354470098,0.9741828978863235,0.7615833333333334,0.7588054548983587,0.7643612117683081,0.71136,0.7086220688264312,0.7140979311735688,0.7637900000000001,0.7610168900957515,0.7665631099042487
36,18,0.93971,0.9381963351043632,0.9412236648956369,0.9794800000000001,0.9785298597612487,0.9804301402387515,0.9330833333333334,0.9315014887167788,0.9346651779498879,0.7144366666666667,0.7120667004476908,0.7168066328856426,0.6717900000000001,0.6694320710520539,0.6741479289479463,0.7212366666666666,0.7188805092525713,0.723592824080762
46,23,0.9341333333333333,0.9326518476436086,0.9356148190230579,0.9766733333333334,0.9757445879105836,0.9776020787560832,0.9256700000000001,0.9241122323689194,0.9272277676310808,0.7100457142857143,0.7077313073629804,0.7123601212084482,0.6549223809523809,0.6525803611588205,0.6572644007459413,0.7092257142857142,0.706883597685525,0.7115678308859035
66,33,0.9086404761904762,0.9071516586273805,0.9101292937535719,0.9605833333333333,0.9594546083527494,0.9617120583139173,0.8937333333333332,0.8921714967805198,0.8952951698861465,0.682087619047619,0.6800288408327015,0.6841463972625366,0.6293504761904762,0.6272994589114718,0.6314014934694807,0.6810004761904761,0.6788990164889058,0.6831019358920464
90,45,0.9062911904761904,0.9047775120743419,0.907804868878039,0.9607638095238095,0.9597100716378538,0.9618175474097651,0.8913219047619048,0.8897209035224883,0.8929229060013212,0.67808,0.6760783829268301,0.6800816170731699,0.6197485714285714,0.6177840473683353,0.6217130954888076,0.6761159523809523,0.6740870961584482,0.6781448086034565
130,65,0.8827114285714286,0.881281874754505,0.8841409823883521,0.9457521428571428,0.94462293700479,0.9468813487094956,0.8674283333333332,0.8659389192770932,0.8689177473895733,0.6568480952380953,0.6550503998606653,0.6586457906155253,0.5952028571428571,0.5934818045982662,0.5969239096874481,0.655054761904762,0.6532745265880325,0.6568349972214914
160,80,0.8831107142857143,0.8816793783089106,0.884542050262518,0.945204761904762,0.9441012126279382,0.9463083111815858,0.8638083333333332,0.8622889204837083,0.865327746182958,0.6569166666666666,0.655121083710829,0.6587122496225042,0.5943635714285714,0.5926977748770567,0.5960293679800862,0.6593480952380952,0.6575582423945157,0.6611379480816748
