size,m,LV_eff,continuation_eff,greedy_eff,luby_eff,blelloch_eff,rpp_eff
10,5,0.9126,0.9972,0.9348,0.5084,0.3944,0.5078
16,5,0.8436,0.974,0.862,0.3126,0.1736,0.2888
36,5,0.5918,0.8378,0.6888,0.0764,0.0128,0.061
46,5,0.5008,0.799,0.6274,0.0378,0.0038,0.025
66,5,0.3298,0.6898,0.4982,0.0082,0.0002,0.0054
90,5,0.2046,0.5592,0.3854,0.0018,0.0,0.0006
130,5,0.1022,0.3998,0.2716,0.0,0.0,0.0
160,5,0.0476,0.3034,0.1908,0.0,0.0,0.0
200,5,0.0172,0.1966,0.1224,0.0,0.0,0.0
