size,m,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,5,0.5,0.5,0.5,0.25,0.25,0.25
16,8,0.4,0.4,0.4,0.2,0.2,0.2
36,18,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
46,23,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
66,33,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857
90,45,0.375,0.5,0.375,0.25,0.25,0.25
130,65,0.5,0.5,0.5,0.25,0.25,0.25
160,80,0.5,0.625,0.5,0.25,0.25,0.25
