value,count_uniform,count_LV
12,1,0
13,202,0
14,983,0
15,4558,0
16,12582,0
17,34947,0
18,83141,0
19,183114,0
20,345333,0
21,598492,0
22,830482,0
23,901867,0
24,742437,5
25,470709,138
26,211263,1355
27,72606,11389
28,17973,71195
29,2764,201653
30,237,237563
31,8,76702
