size,r_radius,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
60,0.176857254412578,0.9615884975415171,0.9610482256444534,0.9621287694385808,0.977937594787655,0.9775058739994894,0.9783693155758205,0.9875812713592476,0.9872491498320296,0.9879133928864655,0.847388009541796,0.846459914997392,0.8483161040862001,0.8396655265129419,0.8387393688617554,0.8405916841641284,0.8400012176633361,0.839066148043979,0.8409362872826932
60,0.3005928852086297,0.9236873543123544,0.9227724499081527,0.9246022587165561,0.9161613170163171,0.9152316047761841,0.91709102925645,0.9744593706293706,0.9738376058374933,0.9750811354212479,0.7838532634032636,0.782595734014761,0.7851107927917661,0.7779192735042736,0.776681982092654,0.7791565649158931,0.7787330536130538,0.7774695964739415,0.779996510752166
60,0.42432851600468147,0.9212452380952382,0.9200856425321147,0.9224048336583617,0.8883715079365078,0.8870947568695272,0.8896482590034883,0.9697646825396825,0.9689314962299945,0.9705978688493705,0.7386042857142856,0.7369967889577504,0.7402117824708208,0.7299465873015872,0.7283489798054686,0.7315441947977058,0.735966984126984,0.7343604895079953,0.7375734787459728
60,0.5480641468007332,0.9236266666666666,0.9222508189505096,0.9250025143828235,0.88559,0.884175954088184,0.887004045911816,0.9695566666666667,0.9685410265858095,0.9705723067475239,0.7979966666666666,0.796038527591605,0.7999548057417282,0.7876966666666666,0.7857207826790814,0.7896725506542518,0.7935466666666667,0.7915815885274862,0.7955117448058473
60,0.6717997775967849,0.9804,0.9794495534366763,0.9813504465633238,0.9355833333333332,0.9340365555342077,0.9371301111324587,0.99515,0.9946623084288059,0.9956376915711941,0.7184333333333333,0.7161741405297509,0.7206925261369156,0.70915,0.7069418691661346,0.7113581308338653,0.7210666666666666,0.7188117386199976,0.7233215947133357
60,0.7955354083928365,0.98245,0.9815157940725892,0.9833842059274109,0.9386,0.9369979633886016,0.9402020366113983,0.99565,0.9951630746950673,0.9961369253049328,0.66175,0.6587655957321825,0.6647344042678174,0.6660333333333333,0.6631440946050564,0.6689225720616101,0.6665833333333334,0.6635972817373023,0.6695693849293646
60,0.9192710391888883,0.92855,0.9266155161035591,0.9304844838964409,0.8498833333333334,0.8475379033235894,0.8522287633430775,0.9648,0.9633511112801975,0.9662488887198025,0.6218666666666666,0.6186026114979291,0.6251307218354041,0.6377666666666666,0.6345189220112407,0.6410144113220925,0.6328333333333334,0.6295798974961411,0.6360867691705256
60,1.04300666998494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639,0.6358317500790638,0.6421682499209362,0.6594,0.6561044727129001,0.6626955272870999,0.6576,0.6543144852882106,0.6608855147117894
60,1.1667423007809918,0.9992,0.9989173553864028,0.9994826446135971,1.0,1.0,1.0,1.0,1.0,1.0,0.6012,0.5983586399972314,0.6040413600027685,0.6126,0.6096460207856792,0.6155539792143209,0.6111,0.6081600873112755,0.6140399126887245
60,1.2904779315770434,0.9993,0.9990355836933987,0.9995644163066012,1.0,1.0,1.0,1.0,1.0,1.0,0.9071,0.9043494671268613,0.9098505328731388,0.909,0.9062713943015138,0.9117286056984862,0.9095,0.906777238040787,0.9122227619592129
60,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
