size,r_radius,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
10,0.5,0.9873700000000001,0.9865500826833061,0.988189917316694,0.99555,0.9950382136985255,0.9960617863014746,0.9968833333333332,0.9964649594221388,0.9973017072445277,0.8774133333333332,0.8750865792449025,0.8797400874217638,0.8644,0.8620260933328475,0.8667739066671524,0.8710633333333333,0.8687261094937345,0.8734005571729321
16,0.5,0.9790233333333334,0.9780636157287929,0.9799830509378739,0.9813866666666665,0.9804798615907236,0.9822934717426094,0.9937099999999999,0.9931652045374869,0.9942547954625128,0.8569399999999999,0.8548356374273295,0.8590443625726704,0.8456433333333334,0.8434723986052172,0.8478142680614497,0.8461,0.843958186665052,0.848241813334948
36,0.5,0.9328933333333332,0.9315511670057199,0.9342354996609465,0.8913866666666665,0.8899288568841941,0.892844476449139,0.9767433333333334,0.975843161252402,0.9776435054142648,0.8035133333333333,0.8016683850178358,0.8053582816488308,0.7978566666666665,0.7960007802122208,0.7997125531211123,0.7999966666666666,0.7981277814702228,0.8018655518631104
46,0.5,0.9189099999999999,0.9175105887566039,0.9203094112433959,0.85069,0.8492889695770118,0.8520910304229881,0.9744066666666668,0.9734876039353204,0.9753257293980131,0.7832266666666666,0.781525458307954,0.7849278750253793,0.7755699999999999,0.7738421886426992,0.7772978113573006,0.7802633333333333,0.7785581918047094,0.7819684748619572
66,0.5,0.8998733333333333,0.8984758162248185,0.9012708504418481,0.7937166666666666,0.792318503019797,0.7951148303135362,0.9654533333333333,0.9644745430065121,0.9664321236601544,0.7525333333333333,0.7509787845270667,0.7540878821395999,0.74461,0.7430370106325149,0.7461829893674851,0.7504466666666667,0.7488561672929945,0.7520371660403389
90,0.5,0.870627619047619,0.8693907005953072,0.8718645374999308,0.7421819047619048,0.7408897169518192,0.7434740925719905,0.9472161904761904,0.9461172957590487,0.9483150851933322,0.7206171428571428,0.7191893327934684,0.7220449529208173,0.7157790476190476,0.714361083309788,0.7171970119283073,0.7172638095238095,0.7158377966518876,0.7186898223957314
130,0.5,0.8544485714285714,0.8535603127549515,0.8553368301021914,0.7168361904761905,0.7157062430757176,0.7179661378766634,0.9578095238095239,0.9567856220787333,0.9588334255403145,0.7102238095238096,0.7089346116213745,0.7115130074262447,0.7057628571428571,0.7045050828029086,0.7070206314828057,0.7096657142857143,0.708392987738356,0.7109384408330727
160,0.5,0.8474219047619046,0.8466718139184277,0.8481719956053815,0.7165495238095239,0.715414181372948,0.7176848662460997,0.9707714285714286,0.9698762150508449,0.9716666420920124,0.7136019047619048,0.7123182534269971,0.7148855560968125,0.7092590476190477,0.7079672656433481,0.7105508295947472,0.7134228571428571,0.7121344818214308,0.7147112324642835
200,0.5,0.8404695238095239,0.8397829344637768,0.841156113155271,0.7175742857142857,0.7164111471536131,0.7187374242749583,0.9796952380952382,0.9789311220992162,0.9804593540912602,0.7188238095238095,0.7175104163424446,0.7201372027051745,0.7158742857142857,0.7145596554506403,0.7171889159779311,0.7177600000000001,0.7164496570467084,0.7190703429532918
