size,r_radius,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,0.32487340032486134,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,0.2818311836098954,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222
36,0.21360426076625183,0.5625,0.5625,0.5,0.4375,0.375,0.4375
46,0.19532135985418173,0.55,0.55,0.55,0.45,0.4,0.4
66,0.17057817343592843,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.5,0.4230769230769231,0.5
90,0.15138474977415906,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5151515151515151,0.5151515151515151
130,0.13100538583071494,0.6511627906976745,0.6511627906976745,0.7209302325581395,0.5581395348837209,0.5581395348837209,0.5581395348837209
160,0.12057902800823328,0.7058823529411765,0.7058823529411765,0.7254901960784313,0.5686274509803921,0.5686274509803921,0.5686274509803921
200,0.11019459580652241,0.7213114754098361,0.7377049180327869,0.7540983606557377,0.5737704918032787,0.5737704918032787,0.6065573770491803
