size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
60,0.11337324605540518,0.9266352088724054,0.9259941908444497,0.927276226900361,0.9824466016186534,0.9820782131028513,0.9828149901344555,0.9830699240986718,0.9826698612260237,0.9834699869713198,0.8357063317233052,0.8347815594033843,0.8366311040432262,0.9324398467598183,0.9316196767355808,0.9332600167840558,0.8221911942240239,0.821250844084665,0.8231315443633828
60,0.20203592144986465,0.8505281720430108,0.8490159344205109,0.8520404096655106,0.9992537634408604,0.9991582163099559,0.9993493105717648,0.9650436559139786,0.96441724167749,0.9656700701504671,0.6972438709677419,0.6957846898081799,0.6987030521273039,0.9562929032258065,0.9552983201671298,0.9572874862844832,0.6815488172043012,0.6801432934948135,0.6829543409137888
60,0.29069859684432414,0.8905200000000001,0.8884047041883393,0.8926352958116609,0.9999933333333334,0.9999866666666667,1.0,0.9765,0.9758751931240119,0.9771248068759881,0.6385266666666667,0.6362158259179602,0.6408375074153732,0.9812200000000001,0.9804254423131599,0.9820145576868403,0.6139600000000001,0.6118011113311472,0.6161188886688529
60,0.3793612722387836,0.9424133333333333,0.9404742165586433,0.9443524501080234,1.0,1.0,1.0,0.9894933333333332,0.9889917634921623,0.9899949031745041,0.6350333333333333,0.6318736644281461,0.6381930022385206,0.995,0.9945075417076538,0.9954924582923462,0.5973333333333333,0.594394801142131,0.6002718655245356
60,0.46802394763324306,0.9762933333333332,0.9748787430495719,0.9777079236170946,1.0,1.0,1.0,0.9974,0.9971024560988,0.9976975439011999,0.6576599999999999,0.6538809570579899,0.66143904294201,0.9981266666666666,0.9977929529542464,0.9984603803790868,0.6109933333333334,0.6073331484801435,0.6146535181865233
60,0.5566866230277026,0.9914133333333334,0.9905224964644543,0.9923041702022124,1.0,1.0,1.0,0.9996933333333334,0.9995756446426985,0.9998110220239683,0.6962733333333334,0.6920615175144933,0.7004851491521735,0.9998066666666666,0.9996945380941011,0.9999187952392321,0.6434799999999999,0.6392923269897175,0.6476676730102824
60,0.645349298422162,0.9959666666666666,0.9952971457048362,0.9966361876284969,1.0,1.0,1.0,1.0,1.0,1.0,0.7511,0.7466333615231399,0.7555666384768601,1.0,1.0,1.0,0.6803066666666666,0.6756943329209046,0.6849190004124286
60,0.7340119738166216,0.9990933333333334,0.998765323512546,0.9994213431541208,1.0,1.0,1.0,1.0,1.0,1.0,0.8084066666666666,0.8039833495523817,0.8128299837809515,1.0,1.0,1.0,0.7330800000000001,0.7282628171680169,0.7378971828319832
60,0.822674649211081,0.9998933333333334,0.9997866666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8668533333333333,0.8627435625953651,0.8709631040713014,1.0,1.0,1.0,0.7918066666666667,0.7869930785864461,0.7966202547468872
60,0.9113373246055405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9296733333333334,0.9263835280538238,0.9329631386128429,1.0,1.0,1.0,0.87672,0.8725320908912434,0.8809079091087567
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
