size,p_connection,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,0.32188758248682003,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857
16,0.25993019270997947,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.36363636363636365
36,0.16057620877200915,0.5909090909090909,0.6818181818181818,0.6363636363636364,0.45454545454545453,0.5,0.4090909090909091
46,0.13632583547518043,0.5925925925925926,0.7037037037037037,0.7037037037037037,0.5185185185185185,0.5555555555555556,0.48148148148148145
66,0.10595477458989334,0.6756756756756757,0.7567567567567568,0.7297297297297297,0.5675675675675675,0.6486486486486487,0.5405405405405406
90,0.08459249977267377,0.673469387755102,0.7755102040816326,0.7755102040816326,0.5714285714285714,0.6530612244897959,0.5714285714285714
130,0.06422134261377903,0.6956521739130435,0.8115942028985508,0.7681159420289855,0.5797101449275363,0.7101449275362319,0.5652173913043478
160,0.054775332933423515,0.7108433734939759,0.8192771084337349,0.7831325301204819,0.6024096385542169,0.7108433734939759,0.5783132530120482
200,0.04605170185988092,0.7184466019417476,0.8155339805825242,0.7766990291262136,0.6019417475728155,0.7475728155339806,0.6019417475728155
