size,p_connection,LV_eff,continuation_eff,greedy_eff,luby_eff,blelloch_eff,rpp_eff
10,0.5,0.8968,0.9978,0.9934,0.661,0.7904,0.619
16,0.5,0.6834,0.9884,0.9024,0.3982,0.7624,0.369
36,0.5,0.8486,1.0,0.9424,0.3698,0.961,0.2968
46,0.5,0.9106,1.0,0.9766,0.3734,0.9872,0.2906
66,0.5,0.9626,1.0,0.9968,0.3906,0.9988,0.296
90,0.5,0.9852,1.0,0.999,0.4074,1.0,0.2958
130,0.5,0.9984,1.0,1.0,0.4,1.0,0.2992
160,0.5,0.9984,1.0,1.0,0.4088,1.0,0.3258
200,0.5,0.9994,1.0,1.0,0.413,1.0,0.2994
