size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
10,0.5,0.9793266666666667,0.9784583822168466,0.9801949511164868,0.9995799999999999,0.9994531092060547,0.9997068907939451,0.9987666666666668,0.9985518424312727,0.9989814909020609,0.9199114285714286,0.9181803396960486,0.9216425174468086,0.9527590476190475,0.9513588358472582,0.9541592593908368,0.9083752380952381,0.9065433286699609,0.9102071475205153
16,0.5,0.9436305555555556,0.9423314117927938,0.9449296993183175,0.9984527777777777,0.9982450551801264,0.9986605003754291,0.987613888888889,0.987075917408959,0.9881518603688191,0.8481383333333333,0.8459931514559809,0.8502835152106858,0.9443794444444443,0.9427840251085953,0.9459748637802934,0.83139,0.8291381631189613,0.8336418368810387
36,0.5,0.9523222222222223,0.950574652082608,0.9540697923618365,1.0,1.0,1.0,0.9925888888888889,0.9921377788902074,0.9930399988875703,0.7213777777777778,0.7180037431731449,0.7247518123824107,0.9886666666666668,0.9878069281603781,0.9895264051729555,0.6819222222222222,0.6786318413049764,0.685212603139468
46,0.5,0.9667304347826088,0.9651187755841825,0.9683420939810351,1.0,1.0,1.0,0.9962347826086956,0.9958796596083951,0.9965899056089961,0.6918782608695652,0.6881954062600375,0.6955611154790928,0.9965391304347826,0.9960823916893246,0.9969958691802406,0.6445478260869566,0.64096987391255,0.6481257782613632
66,0.5,0.984,0.982787120085659,0.9852128799143409,1.0,1.0,1.0,0.9993696969696968,0.9992102701733323,0.9995291237660613,0.6682606060606061,0.6641958902388438,0.6723253218823684,0.9995757575757576,0.9993942224992078,0.9997572926523073,0.612,0.6080806685156523,0.6159193314843476
90,0.5,0.9928666666666668,0.992004177282337,0.9937291560509965,1.0,1.0,1.0,0.9997822222222221,0.999684786869986,0.9998796575744583,0.6540533333333333,0.6496939935597561,0.6584126731069104,1.0,1.0,1.0,0.58704,0.5828809057688207,0.5911990942311793
130,0.5,0.9991692307692308,0.9988625029349512,0.9994759586035105,1.0,1.0,1.0,1.0,1.0,1.0,0.6354553846153846,0.6309192696868615,0.6399914995439078,1.0,1.0,1.0,0.5677415384615385,0.5633493553277149,0.5721337215953621
160,0.5,0.9991549999999999,0.9988371912595929,0.9994728087404069,1.0,1.0,1.0,1.0,1.0,1.0,0.6308699999999999,0.6262001129361581,0.6355398870638418,1.0,1.0,1.0,0.5733,0.5687149153115433,0.5778850846884568
200,0.5,0.999734,0.9995762063734946,0.9998917936265054,1.0,1.0,1.0,1.0,1.0,1.0,0.6287880000000001,0.6240509061416473,0.633525093858353,1.0,1.0,1.0,0.549064,0.5444750440747271,0.5536529559252729
