size,p_connection,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,0.23025850929940458,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857
16,0.17328679513998632,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.2727272727272727
36,0.09954219273489194,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.42857142857142855,0.42857142857142855,0.42857142857142855
46,0.08323133470628467,0.6153846153846154,0.6538461538461539,0.6538461538461539,0.5,0.46153846153846156,0.46153846153846156
66,0.06347961730343069,0.6571428571428571,0.6857142857142857,0.6857142857142857,0.5428571428571428,0.4857142857142857,0.5142857142857142
90,0.04999788522589183,0.6956521739130435,0.717391304347826,0.717391304347826,0.5434782608695652,0.5217391304347826,0.5434782608695652
130,0.03744257269581217,0.703125,0.75,0.75,0.578125,0.578125,0.578125
160,0.031719836345211416,0.6973684210526315,0.7631578947368421,0.7763157894736842,0.5789473684210527,0.5921052631578947,0.6052631578947368
200,0.02649158683274018,0.7340425531914894,0.776595744680851,0.776595744680851,0.5851063829787234,0.5957446808510638,0.5957446808510638
