size,p_connection,LV_eff,continuation_eff,greedy_eff,luby_eff,blelloch_eff,rpp_eff
10,0.23025850929940458,0.9076,0.9894,0.9784,0.5622,0.5064,0.5178
16,0.17328679513998632,0.8152,0.9566,0.9398,0.3592,0.3054,0.3198
36,0.09954219273489194,0.5042,0.8136,0.7862,0.0824,0.0552,0.055
46,0.08323133470628467,0.3904,0.7206,0.686,0.032,0.0194,0.02
66,0.06347961730343069,0.2174,0.5748,0.5138,0.0044,0.0026,0.0028
90,0.04999788522589183,0.1014,0.4308,0.3458,0.0006,0.0006,0.0006
130,0.03744257269581217,0.027,0.248,0.1736,0.0,0.0,0.0
160,0.031719836345211416,0.0088,0.152,0.0938,0.0,0.0,0.0
200,0.02649158683274018,0.0008,0.0758,0.042,0.0,0.0,0.0
