size,p_connection,LV_wc,continuation_wc,greedy_wc,luby_wc,blelloch_wc,rpp_wc
10,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
16,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857
36,0.5,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222
46,0.5,0.4,0.5,0.5,0.3,0.3,0.3
66,0.5,0.5,0.6,0.5,0.3,0.3,0.3
90,0.5,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365
130,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.4166666666666667
160,0.5,0.5,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.3333333333333333
200,0.5,0.5,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667
