size,p_connection,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper,luby_app,luby_app_CI_lower,luby_app_CI_upper,blelloch_app,blelloch_app_CI_lower,blelloch_app_CI_upper,rpp_app,rpp_app_CI_lower,rpp_app_CI_upper
60,0.06823907603703501,0.9555817993687524,0.9550714299783439,0.9560921687591609,0.9839067279728082,0.983587945399988,0.9842255105456285,0.9797821780463848,0.9794124451481784,0.9801519109445912,0.8545303814026914,0.8536487136898336,0.8554120491155492,0.8356192507183352,0.8346893855262889,0.8365491159103815,0.8391686724825479,0.8382545694091231,0.8400827755559727
60,0.1614151684333315,0.9179877555184753,0.9172220334112624,0.9187534776256883,0.9703117816935388,0.969815562988675,0.9708080003984026,0.9519101597353455,0.9512924663849914,0.9525278530856996,0.784584509267822,0.7834680024134398,0.7857010161222041,0.7709218176568873,0.7697866648064091,0.7720569705073654,0.7786445481350435,0.7775173238772295,0.7797717723928574
60,0.254591260829628,0.896988133484163,0.8960270959118584,0.8979491710564675,0.9622968498168498,0.9616447705389797,0.96294892909472,0.936206574014221,0.9354202849081642,0.9369928631202779,0.7492205763843999,0.7479524209676482,0.7504887318011515,0.743288080155139,0.7420133852769886,0.7445627750332895,0.7460353803059686,0.7447627256154893,0.7473080349964479
60,0.3477673532259245,0.8842512121212123,0.8831439826857347,0.8853584415566899,0.9598427272727272,0.9590904252339258,0.9605950293115286,0.925302400932401,0.924375755633664,0.926229046231138,0.7325141724941726,0.7310985225820094,0.7339298224063359,0.7266326495726496,0.7252156673792316,0.7280496317660676,0.7315831779331781,0.7302050708186865,0.7329612850476697
60,0.440943445622221,0.8758630808080808,0.8746552763576343,0.8770708852585274,0.9558562626262627,0.9549954021920141,0.9567171230605113,0.9190755050505052,0.918042922823205,0.9201080872778054,0.7229475757575757,0.7214168353830609,0.7244783161320906,0.7180178787878787,0.7164781788025065,0.7195575787732509,0.7200311616161617,0.7184893469375299,0.7215729762947934
60,0.5341195380185175,0.8769158730158728,0.8755471813583608,0.8782845646733848,0.9582246031746032,0.9572859612030196,0.9591632451461869,0.9194972222222223,0.9183198780125333,0.9206745664319113,0.7176214285714285,0.7159604256335711,0.719282431509286,0.7177960317460317,0.7161436654995911,0.7194483979924723,0.7168091269841269,0.7151636776465315,0.7184545763217223
60,0.6272956304148141,0.8761804761904761,0.8747399462683507,0.8776210061126015,0.9610833333333332,0.9600802635215704,0.962086403145096,0.9170569047619047,0.9157784616549675,0.918335347868842,0.7133664285714286,0.7116438161796308,0.7150890409632265,0.7137297619047619,0.7119955413526399,0.7154639824568839,0.7144938095238095,0.7127369786985587,0.7162506403490603
60,0.7204717228111105,0.8736580952380953,0.8720689655600748,0.8752472249161158,0.9675400000000002,0.9665106024141978,0.9685693975858025,0.9166871428571428,0.9152351802274091,0.9181391054868765,0.7111233333333332,0.7092411260913504,0.7130055405753161,0.7160719047619047,0.7141796607115679,0.7179641488122416,0.7121109523809525,0.7102641978234212,0.7139577069384837
60,0.813647815207407,0.8927700000000001,0.8909292782924586,0.8946107217075415,0.9794766666666667,0.9785693991781341,0.9803839341551992,0.9392566666666667,0.9377633273983784,0.9407500059349551,0.7210066666666666,0.7189106915947011,0.723102641738632,0.7243633333333334,0.7222585017235738,0.726468164943093,0.7223,0.7201884049235819,0.7244115950764182
60,0.9068239076037036,0.9353533333333333,0.9336433847199511,0.9370632819467154,0.9829166666666668,0.9820213932617448,0.9838119400715888,0.9570700000000001,0.9557053234247275,0.9584346765752727,0.72868,0.7262818809353281,0.7310781190646719,0.7335466666666667,0.7311141332576506,0.7359792000756827,0.7317133333333333,0.7292875398060377,0.734139126860629
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
